,Dataset,Model,Model (Training Time Mean),Model (Training Time Std)
0,X_train_0,AdaBoost Classifier,27.598321938514708,0.11047982774708798
1,X_train_0,Bagging (Logistic Regression),25.785506081581115,0.10165597025775025
2,X_train_0,Logistic Regression,4.027842783927918,0.1788835376645732
3,X_train_0,Random Forest Classifier,35.56607372760773,0.10129097082091673
4,X_train_0,SVC,25.15662798881531,0.18142194665158204
5,X_train_0,Stacking Classifier,127.82414572238922,0.7869357400491619
6,X_train_0,XGBoost Classifier,9.197370743751526,0.3912984416764043
7,X_train_1,AdaBoost Classifier,27.672554230690004,0.16286144071341566
8,X_train_1,Bagging (Logistic Regression),25.16827259063721,0.08260494424249773
9,X_train_1,Logistic Regression,3.951503562927246,0.3164097284666195
10,X_train_1,Random Forest Classifier,35.518982887268066,0.2648854791574316
11,X_train_1,SVC,24.690136790275574,0.08476618142578206
12,X_train_1,Stacking Classifier,126.03305075168609,0.546232289076219
13,X_train_1,XGBoost Classifier,9.239832377433777,0.32434277989508464
14,X_train_2,AdaBoost Classifier,27.632068634033203,0.14689742019161298
15,X_train_2,Bagging (Logistic Regression),27.117424106597902,0.05802525643815906
16,X_train_2,Logistic Regression,4.276299214363098,0.34032092711628004
17,X_train_2,Random Forest Classifier,35.33125860691071,0.2854611311543833
18,X_train_2,SVC,24.64973387718201,0.16824196251673498
19,X_train_2,Stacking Classifier,125.22777388095855,0.896415719691202
20,X_train_2,XGBoost Classifier,9.049713158607483,0.6180570779382217
21,X_train_3,AdaBoost Classifier,27.636708235740663,0.11808259022074817
22,X_train_3,Bagging (Logistic Regression),25.711488962173462,0.07313849929543735
23,X_train_3,Logistic Regression,4.344398856163025,0.2058797647744341
24,X_train_3,Random Forest Classifier,35.671697115898134,0.42482157444882096
25,X_train_3,SVC,24.243658804893492,0.10440384855784918
26,X_train_3,Stacking Classifier,123.98925616741181,0.4378046450568199
27,X_train_3,XGBoost Classifier,9.401187539100647,1.1179828869756192
